matrix,alg,bw_mbps,rtt_ms,loss_pct,loss_corr,buffer_pkts,video_throughput_mbps,video_jitter_mbps,video_rebuf_ratio,web_avg_ttfb_s,web_plt_s,large_throughput_mbps,large_fct_s
Latency,cubic,100,50,0,0,833,0.012303704022501093,0.0007863417880838754,0.0,0.1028245,1.0300479999999999,0.012688466810260427,0.10214
Latency,cubic,100,150,0,0,2500,0.004220928706364602,0.0002608162078402938,0.0,0.3019715,3.021041,0.004291646521978131,0.301982
Latency,cubic,100,300,0,0,5000,0.0021165788551377063,0.0001306876889528094,0.0,0.6017829,6.018884000000001,0.0021532781832712218,0.601873
Latency,bbr,100,50,0,0,833,0.012486070388294952,0.0007702355314605908,0.0,0.1019801,1.0211480000000002,0.01272109778362355,0.101878
Latency,bbr,100,150,0,0,2500,0.004220814150322863,0.00026012663892479465,0.0,0.30188740000000003,3.020092,0.004291291261460827,0.302007
Latency,bbr,100,300,0,0,5000,0.00211745826366135,0.00013079817799142103,0.0,0.6018564,6.019725,0.0021522090034076643,0.602172
Loss_None,cubic,100,50,0,0,833,0.012494006861420642,0.0007683915943294455,0.0,0.1016857,1.018003,0.01269729300767128,0.102069
Loss_0.001%,cubic,100,50,0.001,0,833,0.01248459093858885,0.0007614248853945718,0.0,0.1016751,1.017716,0.012713734953942141,0.101937
Loss_0.1%,cubic,100,50,0.1,0,833,0.01249803111006818,0.0007699165636120224,0.0,0.1018046,1.019109,0.01269033047735618,0.102125
Loss_1.0%,cubic,100,50,1.0,0,833,0.01247993436478964,0.0007609984054248943,0.0,0.2018237,2.019199,0.012735598750024568,0.101762
Loss_2.0%,cubic,100,50,2.0,0,833,0.008899487295226527,0.002693172315484183,0.0,0.202176,2.023001,0.01271099167312351,0.101959
Loss_Bursty_2%,cubic,100,50,2.0,25,833,0.01249105257679363,0.0007658752541198318,0.0,0.1016153,1.017111,0.012735723902084295,0.101761
Loss_None,bbr,100,50,0,0,833,0.012461770122649714,0.0007643444723050523,0.0,0.1019403,1.020638,0.012692070393983018,0.102111
Loss_0.001%,bbr,100,50,0.001,0,833,0.01249522751726771,0.0007662738531289562,0.0,0.1019497,1.020749,0.012672090112640802,0.102272
Loss_0.1%,bbr,100,50,0.1,0,833,0.012514476300710507,0.0007688644651061796,0.0,0.1018426,1.019561,0.01266453636656797,0.102333
Loss_1.0%,bbr,100,50,1.0,0,833,0.012485761639488406,0.0007670293163321652,0.0,0.1019227,1.020537,0.012668745540034604,0.102299
Loss_2.0%,bbr,100,50,2.0,0,833,0.00605832446191857,0.003816783892575098,0.0,0.1269864,1.27137,0.012529002320185615,0.10344
Loss_Bursty_2%,bbr,100,50,2.0,25,833,0.01249376195591643,0.0007722051653638157,0.0,0.1016489,1.017476,0.012735849056603774,0.10176
Bandwidth,cubic,10,50,0,0,83,0.012471139640197358,0.0007647083768719157,0.0,0.1018603,1.019747,0.012685361914549992,0.102165
Bandwidth,cubic,100,50,0,0,833,0.012495070906635018,0.0007630289223342628,0.0,0.1018342,1.01954,0.012681762138677418,0.102194
Bandwidth,cubic,1000,50,0,0,8333,0.012508662441775845,0.0007672491038742509,0.0,0.1017118,1.0182,0.012679404772387074,0.102213
Bandwidth,bbr,10,50,0,0,83,0.012500056263113324,0.0007672625027402607,0.0,0.1016474,1.017466,0.012704885891302644,0.102008
Bandwidth,bbr,100,50,0,0,833,0.01250330028598727,0.0007674278427363382,0.0,0.1019662,1.020939,0.012717852096090438,0.101904
Bandwidth,bbr,1000,50,0,0,8333,0.012490876006209453,0.0007639417561493894,0.0,0.1018879,1.0200710000000002,0.012673701092324392,0.102259
BufferSize_0.2xBDP,cubic,100,50,0,0,83,0.012500908309310027,0.0007664614321522883,0.0,0.1019741,1.020963,0.012704387719091872,0.102012
BufferSize_0.5xBDP,cubic,100,50,0,0,208,0.012454484911910469,0.0007662983406257423,0.0,0.1020173,1.021383,0.01273297112484403,0.101783
BufferSize_1.0xBDP,cubic,100,50,0,0,416,0.012459126502433505,0.0007751325661428777,0.0,0.10166940000000001,1.0176779999999999,0.012711989092799482,0.101951
BufferSize_2.0xBDP,cubic,100,50,0,0,833,0.01248811172234765,0.0007618373023960019,0.0,0.1018972,1.020173,0.0125714174855225,0.103091
BufferSize_10.0xBDP,cubic,100,50,0,0,4166,0.012485737581781101,0.0007652908377442902,0.0,0.10184990000000001,1.019556,0.012609211729680294,0.102782
BufferSize_0.2xBDP,bbr,100,50,0,0,83,0.012495275705944511,0.0007645110902385899,0.0,0.1019523,1.020725,0.012681762138677418,0.102194
BufferSize_0.5xBDP,bbr,100,50,0,0,208,0.012507427089066839,0.0007661672944764816,0.0,0.101843,1.019664,0.012682630863025629,0.102187
BufferSize_1.0xBDP,bbr,100,50,0,0,416,0.012512514928608186,0.0007638787262083012,0.0,0.1018757,1.020002,0.012698537120685093,0.102059
BufferSize_2.0xBDP,bbr,100,50,0,0,833,0.01248223015845498,0.0007733306188706239,0.0,0.1016769,1.017748,0.0126647838875805,0.102331
BufferSize_10.0xBDP,bbr,100,50,0,0,4166,0.01250417288176803,0.0007669005374298057,0.0,0.10162940000000001,1.0173320000000001,0.012719599568161743,0.10189
