scenario,algorithm,avg_throughput_mbps,avg_bitrate_selected_mbps,jitter_mbps,rebuffering_ratio,total_stalls,fairness_index,per_stream_avg_throughput_mbps
schedules/abr_doomscroll-2.json:short,cubic,3.128136738328395,1.84375,3.0241981348285516,0.9999985113368807,50.12880563735962,0.29276991112371137,"{""1_bg"": 18.064141547145525, ""1"": 0.18602523066790638, ""4"": 0.5679216943347011, ""3"": 0.7581770617489135}"
schedules/abr_doomscroll-2.json:short,bbr,2.668043409372826,1.28125,2.4435141852062587,0.9999981317481572,50.02532649040222,0.29864316030341614,"{""1_bg"": 11.588163517377364, ""1"": 0.08109856582023164, ""4"": 0.4217297721521815, ""3"": 0.6001217256486316}"
schedules/abr_rapid-1.json:short,cubic,8.049768508238424,1.2205882352941178,2.3466576369767402,0.9999983520431958,60.04013395309448,0.5775827035952187,"{""0"": 0.8376936352909563, ""18_bg"": 20.72362022362745, ""19_bg"": 6.961812015795911, ""5_bg"": 3.6056961557597225, ""1_bg"": 7.834482594279229}"
schedules/abr_rapid-1.json:short,bbr,7.821755100109716,1.2647058823529411,2.615445468216685,0.9999967488822451,62.480655670166016,0.7545194615191105,"{""0"": 0.8367279366243985, ""1_bg"": 9.327399271058148, ""18_bg"": 17.352298944835493, ""5_bg"": 8.336233129788008, ""19_bg"": 15.621018979237487}"
schedules/abr_doomscroll-2.json:short,cubic,4.714666865857199,4.8125,10.836251542382323,0.9999978494515268,50.33218431472778,0.3133874455232187,"{""1_bg"": 40.526029825300846, ""1"": 0.5889481987335259, ""4"": 1.7677087387220907, ""3"": 2.6346996885003096}"
schedules/abr_doomscroll-2.json:short,bbr,4.5558823771647585,5.0,10.250345322538031,0.9999978395935051,50.433589935302734,0.32786576557837066,"{""1_bg"": 35.40373054011348, ""1"": 0.5845561301098214, ""4"": 1.7590080956662082, ""3"": 2.997100749672797}"
schedules/abr_rapid-1.json:short,cubic,15.098199074791873,3.713235294117647,10.447960068501283,0.9999980832127549,54.23152804374695,0.7861602430803255,"{""0"": 5.117872446505641, ""18_bg"": 16.72567146543599, ""5_bg"": 13.789146011159705, ""1_bg"": 24.38101737411916, ""19_bg"": 6.853585766116381}"
schedules/abr_rapid-1.json:short,bbr,15.599253653421362,3.6470588235294117,9.536406190144326,0.9999973478311535,57.89267826080322,0.8141646941972475,"{""0"": 4.241578268668855, ""18_bg"": 25.273984400994337, ""5_bg"": 17.16776254203391, ""1_bg"": 21.01879847890207, ""19_bg"": 33.52218217287879}"
./schedules/abr_doomscroll-2.json:short,cubic,,,,,,,{}
./schedules/abr_doomscroll-2.json:short,bbr,,,,,,,{}
./schedules/abr_rapid-1.json:short,cubic,,,,,,,{}
./schedules/abr_rapid-1.json:short,bbr,,,,,,,{}
../schedules/abr_doomscroll-2.json:short,cubic,,,,,,,{}
../schedules/abr_doomscroll-2.json:short,bbr,,,,,,,{}
../schedules/abr_rapid-1.json:short,cubic,,,,,,,{}
../schedules/abr_rapid-1.json:short,bbr,,,,,,,{}
schedules/abr_doomscroll-2.json:short,cubic,4.367594523482886,4.4375,10.71062591321947,0.7655275399619423,39.60500359535217,0.6481441490082062,"{""0"": 7.660578956466683, ""3"": 1.4473150206821095, ""1"": 3.2939123286798933, ""4"": 1.4145359788229348}"
schedules/abr_doomscroll-2.json:short,bbr,4.396930932080274,4.8125,9.951750086630616,0.764124911010085,39.31038522720337,0.6472223133957744,"{""0"": 7.675991236120058, ""3"": 1.453463231999306, ""4"": 1.412933265672849, ""1"": 3.2772826150032883}"
