scenario,algorithm,avg_throughput_mbps,avg_bitrate_selected_mbps,jitter_mbps,rebuffering_ratio,total_stalls,fairness_index,per_stream_avg_throughput_mbps
schedules/abr_doomscroll-2.json:short,cubic,1.9888630781417522,1.90625,2.4341086747250653,3993653.75,3.808645009994507,0.3502664599680955,"{""1"": 2.6889833005325277, ""0"": 30.12413370214397, ""3"": 1.475000986384553, ""4"": 1.6033365081338575}"
schedules/abr_doomscroll-2.json:short,bbr,1.989543672740744,1.90625,2.5975773147957013,15972212.0,3.808072090148926,0.33452860120740485,"{""1"": 2.355337026001449, ""0"": 32.17781687257955, ""3"": 1.369888557795092, ""4"": 1.4923325436730126}"
schedules/abr_rapid-1.json:short,cubic,1.6159104029588203,1.0,0.0,13244160.0,6.3153076171875,1.0,{}
schedules/abr_rapid-1.json:short,bbr,2.1881820350965087,1.0,0.0,9670186.5,4.611104249954224,1.0,{}
schedules/abr_doomscroll-2.json:short,cubic,1.989480650992539,1.90625,2.7120032718088853,6726635.5,3.207509756088257,0.369741052836782,"{""0"": 27.688312219519386, ""1"": 3.5021871553859145, ""3"": 1.4311138529602405, ""4"": 1.4068018429069675}"
schedules/abr_doomscroll-2.json:short,cubic,1.9919332845037097,1.90625,2.5053050137259536,0.05265480594533363,3.9084017276763916,0.33037412821805723,"{""1"": 1.8109808256098365, ""0"": 32.1802519135721, ""3"": 1.4750763185788538, ""4"": 1.674148572857516}"
schedules/abr_doomscroll-2.json:short,bbr,1.9916563987239204,1.90625,2.5631399790289593,0.05265162646555608,3.9087090492248535,0.3347312616487363,"{""1"": 2.260842754784721, ""0"": 32.222503519909196, ""3"": 1.4677489113370839, ""4"": 1.5049151384751611}"
schedules/abr_doomscroll-2.json:short,bbr,1.989943431074839,1.90625,2.5105453824704123,0.05126232956785263,3.808847427368164,0.3378801270746406,"{""1"": 2.3815699524465854, ""0"": 32.133361436995905, ""3"": 1.4604551975906324, ""4"": 1.5663316864802421}"
schedules/abr_rapid-1.json:short,cubic,2.1884666544408047,1.0,0.0,0.9582445855841629,4.610678195953369,1.0,{}
schedules/abr_rapid-1.json:short,bbr,2.1435688146850556,1.0,0.0,0.9590924407906497,4.711415529251099,1.0,{}
schedules/abr_doomscroll-2.json:short,cubic,1.9895303774619642,1.90625,2.179666598115151,0.05125660390513117,3.8092126846313477,0.354971482644736,"{""1"": 2.439687462775379, ""0"": 29.386060749741066, ""3"": 1.5567395650425393, ""4"": 1.873814494722869}"
schedules/abr_doomscroll-2.json:short,bbr,1.988667604807663,1.90625,2.546175702110738,0.05258392785844006,3.909550189971924,0.33681778650253796,"{""1"": 2.525326082032884, ""0"": 32.22416016427013, ""3"": 1.4053221215026004, ""4"": 1.43549026894563}"
schedules/abr_rapid-1.json:short,cubic,2.37388629244096,1.121212121212121,1.9764794163319892,0.28163028267108436,24.058356523513794,0.29773298894099504,"{""0"": 6.34494464321592, ""1"": 2.5125806265704247, ""12"": 2.254904179539958, ""17"": 2.7029634889468324, ""25"": 60.056185154323614}"
schedules/abr_rapid-1.json:short,bbr,3.655286453877436,1.2666666666666666,2.4377330925749328,0.19707426119295385,16.83841896057129,0.24869781145457132,"{""0"": 5.276139163515911, ""1"": 1.968480470155326, ""11"": 23.295544645798586, ""12"": 2.5516525460348674, ""15"": 170.37129520550354, ""17"": 7.22938835734022, ""25"": 17.740798405359406}"
